"tblCodeID_Species","ScientificName","AphiaID","ITSN","NODC","tblCodeID_Kingdom","tblCodeID_Phylum","tblCodeID_Class","tblCodeID_Order","tblCodeID_Family","tblCodeID_Genus","tblCodeID_Vernacular","Kingdom","Phylum","Class","Order","Family","Genus","Species","Vernacular","Authority"
5377,"Oocystis borgei",248141,NA,NA,874,895,943,6578,3981,3320,NA,"Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Oocystis","Oocystis borgei","","J. Snow, 1903"
5378,"Oocystis submarina",248145,NA,NA,874,895,943,6578,3981,3320,NA,"Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Oocystaceae","Oocystis","Oocystis submarina","","Lagerheim"
5379,"Plagioselmis prolonga",106303,NA,NA,872,888,973,1047,3782,3400,NA,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Plagioselmis","Plagioselmis prolonga","","Butcher"
5380,"Planctonema lauterbornii",162716,NA,NA,874,895,940,1202,4166,3401,NA,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales","Ulotrichaceae","Planctonema","Planctonema lauterbornii","","Schmidle, 1903"
5381,"Preperidinium meunieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5382,"Pseudanabaena limnetica",177590,NA,NA,871,910,926,6579,4062,3446,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena limnetica","","(Lemmermann) Komárek, 1974"
5383,"Pseudopedinella tricostata",160601,NA,NA,872,880,963,1142,4010,3451,NA,"Chromista","Heterokontophyta","Dictyochophyceae","Pedinellales","Pedinellaceae","Pseudopedinella","Pseudopedinella tricostata","","(M.I. Roukhiyajnen) H.A. Thomsen 1988"
5384,"Pyramimonas",134529,NA,NA,874,895,955,1158,4071,3461,NA,"Plantae","Chlorophyta","Prasinophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas","","Schmarda, 1849"
5385,"Pyramimonas virginica",134559,NA,NA,874,895,955,1158,4071,3461,NA,"Plantae","Chlorophyta","Prasinophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas virginica","","Pennick"
5386,"Quadricoccus ellipticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5387,"Skeletonema costatum",149074,NA,NA,872,891,6577,1197,4107,3519,NA,"Chromista","Bacillariophyta","Mediophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema costatum","","(Greville) P.T. Cleve, 1878"
5388,"Snowella litoralis",177473,NA,NA,871,910,926,1186,3933,3520,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Snowella","Snowella litoralis","","(Häyrén) Komárek & Hindák, 1988"
5389,"Snowella septentrionalis",177480,NA,NA,871,910,926,1186,3933,3520,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Snowella","Snowella septentrionalis","","Komárek & Hindák, 1988"
5390,"Teleaulax acuta",106305,NA,NA,872,888,973,1159,3844,3570,NA,"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Geminigeraceae","Teleaulax","Teleaulax acuta","","(Butcher) Hill"
5391,"Teleaulax amphioxeia",106306,NA,NA,872,888,973,1159,3844,3570,NA,"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Geminigeraceae","Teleaulax","Teleaulax amphioxeia","","(Conrad) Hill"
5392,"Thalassiosira",148912,NA,NA,872,891,6577,1197,4145,3581,NA,"Chromista","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira","","Cleve, 1873"
5395,"Halicryptus spinulosus",101156,NA,NA,873,906,925,NA,4054,3072,NA,"Animalia","Cephalorhyncha","Priapulida","","Priapulidae","Halicryptus","Halicryptus spinulosus","","von Siebold, 1849"
5396,"Macoma baltica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5397,"Marenzelleria viridis",131135,NA,NA,873,875,938,1179,4115,3213,NA,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","Marenzelleria viridis","","(Verrill, 1873)"
5398,"Oligochaeta",2036,NA,NA,873,875,948,NA,NA,NA,5432,"Animalia","Annelida","Clitellata","","","","Oligochaeta","oligochaetes",""
5399,"Ostracoda",1078,NA,NA,873,903,970,NA,NA,NA,5433,"Animalia","Arthropoda","Ostracoda","","","","Ostracoda","seed shrimp","Latreille, 1802"
5400,"Pontoporeia affinis",103078,NA,NA,873,903,975,1003,4051,3427,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Pontoporeiidae","Pontoporeia","Pontoporeia affinis","","Lindström, 1855"
5401,"Pontoporeia femorata",103079,NA,NA,873,903,975,1003,4051,3427,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Pontoporeiidae","Pontoporeia","Pontoporeia femorata","","Krøyer, 1842"
5402,"Pygospio elegans",131170,NA,NA,873,875,938,1179,4115,3460,NA,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans","","Claparède, 1863"
5403,"Saduria entomon",119034,NA,NA,873,903,975,1093,3745,3485,NA,"Animalia","Arthropoda","Malacostraca","Isopoda","Chaetiliidae","Saduria","Saduria entomon","","(Linnaeus, 1758)"
5404,"Acartia",104108,NA,NA,873,903,957,1022,3652,2701,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia","","Dana, 1846"
5405,"Acartia longiremis",104257,NA,NA,873,903,957,1022,3652,2701,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia longiremis","","(Lilljeborg, 1853)"
5406,"Asplanchna priodonta",134977,NA,NA,873,882,976,1152,3689,2775,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Asplanchnidae","Asplanchna","Asplanchna priodonta","","Gosse, 1850"
5407,"Bosmina maritima",157607,NA,NA,873,903,932,1061,3710,2809,NA,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Bosminidae","Bosmina","Bosmina maritima","","P.E. Muller, 1868"
5408,"Brachionus calyciflorus",134980,NA,NA,873,882,976,1152,3712,2811,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Brachionus","Brachionus calyciflorus","","Pallas, 1766"
5409,"Calanoida   ",1100,NA,NA,873,903,957,1022,NA,NA,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","","","Calanoida","","Sars, 1903"
5410,"Centropages",104159,NA,NA,873,903,957,1022,3739,2841,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Centropagidae","Centropages","Centropages","","Krøyer, 1849"
5411,"Centropages hamatus",104496,NA,NA,873,903,957,1022,3739,2841,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Centropagidae","Centropages","Centropages hamatus","","(Lilljeborg, 1853)"
5412,"Conochilus unicornis",134966,NA,NA,873,882,976,1076,3774,2893,NA,"Animalia","Rotifera","Eurotatoria","Flosculariaceae","Conochilidae","Conochilus","Conochilus unicornis","","Rousselet, 1892"
5413,"Copepoda",1080,NA,NA,873,903,957,NA,NA,NA,5431,"Animalia","Arthropoda","Maxillopoda","","","","Copepoda","copepods",""
5414,"Cyclops",149782,NA,NA,873,903,957,1050,3786,2921,NA,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Cyclops","Cyclops","","Müller, 1785"
5415,"Daphnia galeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5416,"Diaptomus",247924,NA,NA,873,903,957,1022,3798,2941,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Diaptomidae","Diaptomus","Diaptomus","","Westwood, 1836"
5417,"Euchlanis dilatata",134988,NA,NA,873,882,976,1152,3824,3003,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Euchlanidae","Euchlanis","Euchlanis dilatata","","Ehrenberg, 1832"
5418,"Eurytemora affinis",104872,NA,NA,873,903,957,1022,4141,3015,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Temoridae","Eurytemora","Eurytemora affinis","","(Poppe, 1880)"
5419,"Evadne nordmanni",106273,NA,NA,873,903,932,1061,4044,3022,NA,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Evadne","Evadne nordmanni","","Lovén, 1836"
5420,"Filinia   ",134931,NA,NA,873,882,976,1076,4162,3025,NA,"Animalia","Rotifera","Eurotatoria","Flosculariaceae","Trochosphaeridae","Filinia","Filinia","","Bory de St. Vincent, 1824"
5421,"Kellicottia longispina",134989,NA,NA,873,882,976,1152,3712,3115,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Kellicottia","Kellicottia longispina","","(Kellicott, 1879)"
5422,"Keratella cochlearis",134990,NA,NA,873,882,976,1152,3712,3116,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Keratella","Keratella cochlearis","","(Gosse, 1851)"
5423,"Keratella cruciformis",134991,NA,NA,873,882,976,1152,3712,3116,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Keratella","Keratella cruciformis","","(Thompson, 1892)"
5424,"Keratella quadrata",134992,NA,NA,873,882,976,1152,3712,3116,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Keratella","Keratella quadrata","","(Müller, 1786)"
5425,"Paracyclops fimbriatus",149790,NA,NA,873,903,957,1050,3786,3350,NA,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Paracyclops","Paracyclops fimbriatus","","(Fischer, 1853)"
5426,"Podon leuckartii",106277,NA,NA,873,903,932,1061,4044,3412,NA,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Podon","Podon leuckartii","","(G.O. Sars, 1862)"
5427,"Pseudocalanus elongatus  ",104515,NA,NA,873,903,957,1022,3765,3448,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus elongatus","","(Boeck, 1865)"
5428,"Synchaeta",134958,NA,NA,873,882,976,1152,4133,3559,NA,"Animalia","Rotifera","Eurotatoria","Ploima","Synchaetidae","Synchaeta","Synchaeta","","Ehrenberg, 1832"
5429,"Temora",104241,NA,NA,873,903,957,1022,4141,3575,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Temoridae","Temora","Temora","","Baird, 1850"
5430,"Temora longicornis",104878,NA,NA,873,903,957,1022,4141,3575,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Temoridae","Temora","Temora longicornis","","(Müller O.F., 1785)"
5435,"Limanda limanda",127139,NA,NA,873,890,984,1151,4039,3167,6580,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","Limanda limanda","dab","(Linnaeus, 1758)"
5438,"Abra   ",138474,NA,NA,873,876,928,6581,4099,2693,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Semelidae","Abra","Abra","","Leach in Lamarck, 1818"
5439,"Acanthonotus cristatus  ",492005,NA,NA,873,903,975,1003,3651,6582,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Acanthonotozomatidae","Acanthonotus","Acanthonotus cristatus","","Ross, 1835"
5440,"Acartia clausi",104251,NA,NA,873,903,957,1022,3652,2701,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia clausi","","Giesbrecht, 1889"
5441,"Acteon candens  ",420509,NA,NA,873,876,947,NA,3657,2708,NA,"Animalia","Mollusca","Gastropoda","","Acteonidae","Acteon","Acteon candens","","Rehder, 1939"
5442,"Aegidae   ",118272,NA,NA,873,903,975,1093,3660,NA,NA,"Animalia","Arthropoda","Malacostraca","Isopoda","Aegidae","","Aegidae","","White, 1850"
5443,"Agnatha   ",1829,NA,NA,873,890,NA,NA,NA,NA,6583,"Animalia","Chordata","","","","","Agnatha","jawless fish",""
5444,"Agonidae   ",125588,NA,NA,873,890,984,1169,3662,NA,6584,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","","Agonidae","sea poachers",""
5445,"Agonus   ",126144,NA,NA,873,890,984,1169,3662,2714,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Agonus","Agonus","","Bloch & Schneider, 1801"
5446,"Alpheidae   ",106776,NA,NA,873,903,975,1055,3666,NA,6585,"Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","","Alpheidae","snapping shrimps","Rafinesque, 1815"
5447,"Ammodytes",125909,NA,NA,873,890,984,1146,3668,2725,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes","","Linnaeus, 1758"
5448,"Ammodytes marinus  ",126751,NA,NA,873,890,984,1146,3668,2725,6586,"Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Raitt's sandeel","Raitt, 1934"
5449,"Ampelisca macrocephala",101908,NA,NA,873,903,975,1003,3669,2726,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca macrocephala","","Liljeborg, 1852"
5450,"Ampelisca spinipes  ",101928,NA,NA,873,903,975,1003,3669,2726,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca spinipes","","Boeck, 1861"
5451,"Ampelisca typica  ",101933,NA,NA,873,903,975,1003,3669,2726,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca typica","","(Bate, 1856)"
5452,"Ampharetidae   ",981,NA,NA,873,875,938,1191,3670,NA,NA,"Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","","Ampharetidae","","Malmgren, 1866"
5453,"Amphipoda",1135,NA,NA,873,903,975,1003,NA,NA,6587,"Animalia","Arthropoda","Malacostraca","Amphipoda","","","Amphipoda","amphipods","Latreille, 1816"
5454,"Amphitrite   ",153508,NA,NA,873,876,947,1127,6588,2732,NA,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Amphitrite","Amphitrite","","Ascanius, 1774 non Müller, 1771"
5455,"Amphiura",123613,NA,NA,873,909,985,1133,3674,2733,NA,"Animalia","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","Amphiura","Amphiura","","Forbes, 1843"
5456,"Amphiura chiajei",125073,NA,NA,873,909,985,1133,3674,2733,6589,"Animalia","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","Amphiura","Amphiura chiajei","brittlestar","Forbes, 1843"
5457,"Amphiuridae   ",123206,NA,NA,873,909,985,1133,3674,NA,NA,"Animalia","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","","Amphiuridae","","Ljungman, 1867"
5459,"Anasimus latus  ",421959,NA,NA,873,903,975,1055,3881,2742,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Inachoididae","Anasimus","Anasimus latus","","Rathbun, 1894"
5460,"Anguilla vulgaris  ",299409,NA,NA,873,890,984,1004,3677,2744,NA,"Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla vulgaris","","Shaw, 1803"
5461,"Anguillidae   ",125425,NA,NA,873,890,984,1004,3677,NA,6590,"Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","","Anguillidae","freshwater eels",""
5464,"Anthozoa   ",1292,NA,NA,873,911,997,NA,NA,NA,6591,"Animalia","Cnidaria","Anthozoa","","","","Anthozoa","sea anemones",""
5465,"Aphidoidea   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5466,"Aphrodita aculeata",129840,NA,NA,873,875,938,1150,3680,2756,6592,"Animalia","Annelida","Polychaeta","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita aculeata","sea mouse","Linnaeus, 1758"
5467,"Aphroditidae   ",938,NA,NA,873,875,938,1150,3680,NA,NA,"Animalia","Annelida","Polychaeta","Phyllodocida","Aphroditidae","","Aphroditidae","","Malmgren, 1867"
5468,"Archaeogastropoda   ",110,NA,NA,873,876,947,1011,NA,NA,NA,"Animalia","Mollusca","Gastropoda","Archaeogastropoda","","","Archaeogastropoda","","Thiele, 1925"
5469,"Arenicola   ",129206,NA,NA,873,875,938,NA,3684,2762,NA,"Animalia","Annelida","Polychaeta","","Arenicolidae","Arenicola","Arenicola","","Lamarck, 1801"
5470,"Arenicola brasiliensis  ",157215,NA,NA,873,875,938,NA,3684,2762,NA,"Animalia","Annelida","Polychaeta","","Arenicolidae","Arenicola","Arenicola brasiliensis","","Nonato, 1958"
5471,"Arenicolidae   ",922,NA,NA,873,875,938,NA,3684,NA,NA,"Animalia","Annelida","Polychaeta","","Arenicolidae","","Arenicolidae","","Johnston, 1835"
5472,"Argentina   ",125885,NA,NA,873,890,984,1136,3685,2763,NA,"Animalia","Chordata","Actinopterygii","Osmeriformes","Argentinidae","Argentina","Argentina","","Linnaeus, 1758"
5473,"Ascophyllum   ",144128,NA,NA,872,880,980,1080,3837,2772,NA,"Chromista","Heterokontophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Ascophyllum","","Stackhouse, 1809"
5474,"Astacilla   ",118445,NA,NA,873,903,975,1093,3683,2776,NA,"Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla","Astacilla","","Cordiner, 1793"
5476,"ASTARTE",137683,NA,NA,873,876,928,6593,3691,2777,NA,"Animalia","Mollusca","Bivalvia","Carditoida","Astartidae","Astarte","Astarte","","J. Sowerby, 1816"
5477,"Astarte globula  ",420839,NA,NA,873,876,928,6593,3691,2777,NA,"Animalia","Mollusca","Bivalvia","Carditoida","Astartidae","Astarte","Astarte globula","","Dall, 1886"
5478,"Asterias   ",123219,NA,NA,873,909,959,1078,3692,2778,NA,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias","","Linnaeus, 1758"
5479,"Asterias rubens  ",123776,NA,NA,873,909,959,1078,3692,2778,6594,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","common starfish","Linnaeus, 1758"
5480,"Astropecten   ",123245,NA,NA,873,909,959,1141,3693,2781,NA,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten","","Gray, 1840"
5481,"Atelecyclus   ",106875,NA,NA,873,903,975,1055,3694,2782,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus","","Leach, 1814"
5482,"Atelecyclus rotundatus  ",107273,NA,NA,873,903,975,1055,3694,2782,6595,"Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus rotundatus","old mans face crab","(Olivi, 1792)"
5483,"Axiognathus squamatus  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5484,"Basilissa rhyssa  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5485,"Bodotriidae   ",110378,NA,NA,873,903,975,1048,3708,NA,NA,"Animalia","Arthropoda","Malacostraca","Cumacea","Bodotriidae","","Bodotriidae","","T. scott, 1901"
5486,"Brachiopoda   ",1803,NA,NA,873,896,NA,NA,NA,NA,6596,"Animalia","Brachiopoda","","","","","Brachiopoda","lamp shells","Duméril, 1806"
5487,"Branchyostomia   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
5488,"Calanidae   ",104079,NA,NA,873,903,957,1022,3717,NA,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Calanidae","","Calanidae","","Dana, 1849"
5489,"Calanus tonsus  ",349541,NA,NA,873,903,957,1022,3717,2824,NA,"Animalia","Arthropoda","Maxillopoda","Calanoida","Calanidae","Calanus","Calanus tonsus","","Brady, 1883"
5490,"Calcarea   ",559,NA,NA,873,883,941,NA,NA,NA,6597,"Animalia","Porifera","Calcarea","","","","Calcarea","calcareous sponges","Bowerbank, 1864"
5491,"Caligidae   ",135513,NA,NA,873,903,957,1176,3718,NA,NA,"Animalia","Arthropoda","Maxillopoda","Siphonostomatoida","Caligidae","","Caligidae","","Burmeister, 1835"
5492,"Callianassidae   ",106800,NA,NA,873,903,975,1055,3719,NA,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Callianassidae","","Callianassidae","","Dana, 1852"
