Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Pleuronectidae,Glyptocephalus cynoglossus,Witch,Boreal,Planktonic eggs,60,Benthivore,3.1,Shelf,Demersal,Yang (1982a)
Pleuronectidae,Hippoglossoides platessoides,Long-rough dab,Boreal,Planktonic eggs,50,Bentho-piscivore,3.7,Shelf,Demersal,Yang (1982a)
Pleuronectidae,Hippoglossus hippoglossus,Halibut,Boreal,Planktonic eggs,200,Piscivore,4.5,Slope,Demersal,Yang (1982a)
Pleuronectidae,Limanda limanda,Dab,Boreal,Planktonic eggs,40,Benthivore,3.3,Shelf,Demersal,Yang (1982a)
Pleuronectidae,Microstomus kitt,Lemon sole,Boreal,Planktonic eggs,45,Benthivore,3.3,Shelf,Demersal,Yang (1982a)
Pleuronectidae,Platichthys flesus,Flounder,Lusitanian,Planktonic eggs,50,Benthivore,3.2,Coastal,Demersal,Yang (1982a)
Pleuronectidae,Pleuronectes platessa,European plaice,Boreal,Planktonic eggs,100,Benthivore,3.3,Shelf,Demersal,Yang (1982a)
Pleuronectidae,Reinhardtius hippoglossoides,Greenland halibut,Boreal,Planktonic eggs,100,Piscivore,4.5,Slope,Benthopelagic,Yang (1982a)
Soleidae,Buglossidium luteum,Solenette,Lusitanian,Planktonic eggs,15,Benthivore,3.3,Inner shelf,Demersal,Yang (1982a)
Soleidae,Microchirus variegatus,Thickback sole,Lusitanian,Planktonic eggs,20,Benthivore,3.3,Shelf,Demersal,Yang (1982a)
Soleidae,Pegusa lascaris,Sand sole,Lusitanian,Planktonic eggs,40,Benthivore,3.2,Inner shelf,Demersal,Yang (1982a)
Soleidae,Solea solea,Sole,Lusitanian,Planktonic eggs,70,Benthivore,3.1,Inner shelf,Demersal,Yang (1982a)
Balistidae,Balistes capriscus,Grey trigger fish,Lusitanian,Demersal eggs,40,Benthivore,3.5,Shelf,Reef-associated,Yang (1982a)
Tetraodontidae,Lagocephalus lagocephalus,Puffer fish,Atlantic,Demersal eggs (?),60,Benthivore,3.7,Shelf,Benthopelagic,Yang (1982a)
Molidae,Mola mola,Sunfish,Atlantic,Planktonic eggs,300,Planktivore,3.9,Oceanic,Epipelagic,Yang (1982a)
Molidae,Ranzania laevis,Truncated sunfish,Atlantic,Planktonic eggs,80,Planktivore,3.7,Oceanic,Epipelagic,Yang (1982a)
